X,Y,QUERY_FIELD,IN_DASHBOARD,OBJECTID,LOCATION,LOCATION_NUMBER,LOCATION_NAME,POD_LATITUDE,POD_LONGITUDE,POD_ALTITUDE,READING_DATESTAMP_UTC,TEMPERATURE_C,PRESSURE_MBAR,HUMIDITY_RH,NOISE_LEVEL_DB,PEAK_NOISE_DB,CO_SCALED_PPB,NO_SCALED_PPB,SO2_SCALED_PPB,NO2_SCALED_PPB,O3_SCALED_PPB,CO2_SCALED_PPM,PM10_SCALED_UGM3,PM4_SCALED_UGM3,PM2_5_SCALED_UGM3,PM1_SCALED_UGM3,PM_TOTAL_SCALED_UGM3,AQHI,PM_TPC_SCALED_COUNTM3,NOX_PPB,GlobalID
-80.48289672,43.4528475,READING,N,669,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 06:15:00+00,16.2,969.1,58.1,69.0,76.4,350.21,0.99,0.98,8.47,33.27,444.0,10.77,6.2,5.03,3.71,10.77,3.0,1.12,9.46,8688275c-f130-4da3-8147-f04e0cf373fc
-80.48289672,43.4528475,READING,N,670,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 06:30:00+00,16.1,968.9,58.4,68.7,75.7,348.92,1.01,1.12,9.31,30.4,443.0,12.54,6.79,5.3,3.73,12.54,3.0,1.14,10.32,bece49e4-66ac-44ec-ac2d-743d6f4f3693
-80.48289672,43.4528475,READING,N,671,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 06:45:00+00,16.0,969.1,58.6,68.7,76.5,350.34,1.12,1.23,9.81,27.07,443.0,11.07,6.5,5.03,3.54,11.07,3.0,1.07,10.93,1a40b9b8-6460-4075-a2fe-663afa00e449
-80.48289672,43.4528475,READING,N,672,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 07:00:00+00,16.0,969.0,59.5,68.5,75.9,358.77,1.1,1.24,9.79,30.11,443.0,11.02,6.61,5.37,3.88,11.02,3.0,1.18,10.89,527b615f-24f2-4c2a-ae33-7401e4479415
-80.50396672,43.4401795,READING,N,961,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 06:15:00+00,17.1,970.7,51.6,64.8,73.1,350.48,0.56,0.49,9.29,37.33,440.0,21.69,15.28,13.29,10.35,21.72,3.0,10.48,9.85,7b424560-3758-44c9-9cf6-8808fa7a287e
-80.50396672,43.4401795,READING,N,962,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 06:30:00+00,17.0,970.9,52.0,65.1,72.7,348.37,0.03,0.39,9.22,37.98,435.0,22.76,14.61,13.11,10.38,23.27,3.0,10.38,9.25,f2f07f4a-9bf5-459b-9a11-ad79a56203fb
-80.50396672,43.4401795,READING,N,963,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 06:45:00+00,16.8,970.9,52.7,64.2,72.9,350.38,0.53,0.4,9.21,35.85,437.0,19.47,14.05,12.49,9.98,19.5,3.0,10.04,9.74,c9b43d63-c52f-4fb1-9952-4e640ea28911
-80.50396672,43.4401795,READING,N,964,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/09 07:00:00+00,16.7,970.8,53.7,64.6,72.5,351.46,0.51,0.36,8.56,38.13,447.0,16.67,14.29,12.92,10.41,16.67,3.0,10.4,9.07,ce925445-432f-4cb7-b8a0-57370aacf39b
-80.49204272,43.43330349,READING,N,965,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 06:15:00+00,16.9,972.2,56.2,73.2,74.8,317.43,0.69,0.67,10.76,27.81,407.0,15.2,11.77,11.28,10.1,15.2,3.0,4.59,11.45,0427aa70-8e02-4c4f-ac37-3199134c1749
-80.49204272,43.43330349,READING,N,966,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 06:30:00+00,16.8,971.9,56.5,74.3,75.7,322.03,0.48,0.66,11.98,23.85,408.0,15.32,12.08,11.3,9.95,24.91,3.0,4.56,12.46,338352c2-92b8-43f7-a09c-187af93e4bec
-80.49204272,43.43330349,READING,N,967,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 06:45:00+00,16.6,971.6,57.2,74.7,79.8,322.09,0.57,0.68,11.27,25.85,408.0,16.97,12.3,11.43,10.17,17.0,3.0,4.67,11.84,0ef09fc5-c729-4a84-abd8-0bd5ef7789c8
-80.49204272,43.43330349,READING,N,968,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/09 07:00:00+00,16.5,971.5,57.8,74.5,76.3,326.25,0.68,0.6,10.52,27.62,407.0,17.04,12.46,11.69,10.46,17.07,3.0,4.84,11.2,ac545e8d-2025-40db-b8c8-3a34cabcf8e1
-80.46121771,43.4535745,READING,N,969,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 07:15:00+00,16.5,970.9,54.6,56.5,62.6,252.72,0.01,1.31,10.1,29.0,447.0,17.93,12.93,12.75,12.16,17.93,3.0,2.58,10.11,8cb762d4-15ac-4dd5-9928-ba924e4a9b4b
-80.46121771,43.4535745,READING,N,970,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 07:30:00+00,16.5,970.7,55.2,56.7,59.5,246.94,0.67,1.1,9.13,30.68,461.0,17.0,12.35,12.53,12.29,17.0,3.0,2.59,9.8,5d6f39c4-a8b0-4d3f-a333-59d1397c62ec
-80.46121771,43.4535745,READING,N,971,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 07:45:00+00,16.5,970.7,55.5,57.2,66.9,246.55,0.68,1.01,8.75,32.35,447.0,14.68,12.25,12.69,12.56,14.68,3.0,2.62,9.43,ece9de80-245e-4218-ac3f-19f49fa9f965
-80.46121771,43.4535745,READING,N,972,Smithson,1920,Pod 2450232,43.453566,-80.461214,316,2021/04/09 08:00:00+00,16.5,970.7,56.0,57.5,62.6,247.2,0.04,1.05,9.2,34.25,458.0,17.46,12.85,13.55,13.79,17.46,3.0,2.88,9.24,6f11ca24-d98e-439a-9f22-4b84f7260e98
-80.48289672,43.4528475,READING,N,973,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 07:15:00+00,16.0,968.9,60.1,68.7,75.8,366.1,1.12,1.4,9.84,28.4,439.0,10.7,6.37,5.33,3.91,10.7,3.0,1.19,10.96,f6fa7708-5d3d-4715-b083-02dcfd415649
-80.48289672,43.4528475,READING,N,974,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 07:30:00+00,16.0,968.7,60.8,68.8,76.4,368.68,1.11,1.36,9.97,29.56,441.0,9.71,6.74,5.57,4.08,9.71,3.0,1.23,11.08,918d92c2-ad82-419d-8076-5b0843cf56a3
-80.48289672,43.4528475,READING,N,975,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 07:45:00+00,15.9,968.7,61.7,68.7,77.6,365.18,1.03,1.1,9.27,31.17,435.0,9.03,6.49,5.43,4.15,9.03,3.0,1.27,10.3,3ed1d769-3fdd-4e17-a4a2-a18814f0e60a
-80.48289672,43.4528475,READING,N,976,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/09 08:00:00+00,15.9,968.9,62.2,69.2,76.3,353.36,1.09,1.15,9.15,28.55,434.0,10.94,6.74,5.69,4.26,10.94,3.0,1.3,10.24,1f917b0f-6af6-40db-a6bd-7e6f68b48627
